Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Municipality,Address,Facility Name,Categories,Historical Information,Url
Positive Edge Personal Training,Fitzroy,-37.793324,144.97821000000002,Fitness / Gymnasium Workouts,,,,,Yarra,83 Alexandra Parade Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Gymnasium']",,
Richmond  studio and Aerial Divas,Richmond,-37.834325,144.996591,Fitness / Gymnasium Workouts,,,,,Yarra,252 Church Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Richmond Recreation Centre,Richmond,-37.817218,145.000351,Fitness / Gymnasium Workouts,1.0,,4. Good,,Yarra,Gleadell Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Simon's Personal Training Studio,Fitzroy,-37.804574,144.97740100000001,Fitness / Gymnasium Workouts,,,,,Yarra,621 Brunswick Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Gymnasium']",,
Skulpt Personal Training Richmond Personal Training,Richmond,-37.81816,145.012396,Fitness / Gymnasium Workouts,,,,,Yarra,103 Murphy Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Space Health Club,Richmond,-37.809937,144.994548,Fitness / Gymnasium Workouts,,,,,Yarra,620 Victoria Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Srpt Elysium Health & Lifestyle,Richmond,-37.819289000000005,145.00405,Fitness / Gymnasium Workouts,,,,,Yarra,374 Bridge Road Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
The Spin Room,Fitzroy North,-37.782247,144.97799999999998,Fitness / Gymnasium Workouts,,,,,Yarra,732 Nicholson Street Fitzroy North 3068,,"['Yarra', 'Fitzroy North', 'Sports', 'Gymnasium']",,
Time 4 Fitness,Fitzroy,-37.79807,144.975969,Fitness / Gymnasium Workouts,1.0,,,,Yarra,135 Johnston Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Gymnasium']",,
Unique Fitness Studio,Richmond,-37.825489000000005,144.996172,Fitness / Gymnasium Workouts,,,,,Yarra,33 Waverley Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Vibes Fitness,Fitzroy,-37.795572,144.97979899999999,Fitness / Gymnasium Workouts,,,,,Yarra,106 Leicester Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Gymnasium']",,
Vigor Health & Fitness,Fitzroy,-37.797612,144.98429299999998,Fitness / Gymnasium Workouts,1.0,,,,Yarra,393 Smith Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Gymnasium']",,
Zap Fitness Richmond,Richmond,-37.819201,145.007592,Fitness / Gymnasium Workouts,,,,,Yarra,509-511 Bridge Road Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Burnley Golf Course,Burnley,-37.828576,145.020462,Golf,1.0,9 Hole Course - Public,4. Good,"Female, Male",Yarra,Swan Street Burnley 3121,,"['Yarra', 'Burnley', 'Sports', 'Golf']",,
Latrobe Golf Course,Fairfield,-37.786367,145.034196,Golf,1.0,18 Hole Course - Private,,,Yarra,Farm Road Fairfield 3078,,"['Yarra', 'Fairfield', 'Sports', 'Golf']",,
Yarra Bend Golf Course,Abbotsford,-37.795643,145.00771799999998,Golf,1.0,18 Hole Course - Public,4. Good,Unisex,Yarra,Yarra Bend Road Abbotsford 3067,,"['Yarra', 'Abbotsford', 'Sports', 'Golf']",,
Alphington Bowls Club,Alphington,-37.783778999999996,145.029131,Lawn Bowls,2.0,Grass,3. Average,,Yarra,Parkview Road Alphington 3067,,"['Yarra', 'Alphington', 'Sports']",,
Fitzroy Victoria Bowls and Sports Club,Fitzroy,-37.78753,144.982377,Lawn Bowls,2.0,Synthetic Pitch,4. Good,,Yarra,Brunswick Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports']",,
Richmond Union Bowling Club,Richmond,-37.817218,145.000351,Lawn Bowls,2.0,Grass,4. Good,,Yarra,Gleadell Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports']",,
Aiki No Michi Aikido,Fitzroy,-37.79807,144.975969,Martial Arts,,,,,Yarra,207 Johnston Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Martial Arts']",,
Australian Kung Fu Acadamy,Collingwood,-37.808727000000005,144.98258700000002,Martial Arts,,,,,Yarra,478 Smith Street Collingwood 3066,,"['Yarra', 'Collingwood', 'Sports', 'Martial Arts']",,
Dominance Mixed Martial Arts,Richmond,-37.809937,144.994548,Martial Arts,,,,,Yarra,555 Victoria Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Martial Arts']",,
Field Aikido Centre,Fitzroy,-37.797968,144.983715,Martial Arts,,,,,Yarra,214 Kerr Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Martial Arts']",,
Inner City Systema,Fitzroy,-37.807708,144.98155400000002,Martial Arts,,,,,Yarra,310 Gore Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Martial Arts']",,
Seido-Juku Karate,Richmond,-37.824628999999995,144.988844,Martial Arts,,,,,Yarra,439 Swan Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Martial Arts']",,
Wing Chun Kung Fu Jee Shin,Abbotsford,-37.805707,144.99234199999998,Martial Arts,,,,,Yarra,96 Hoddle Street Abbotsford 3067,,"['Yarra', 'Abbotsford', 'Sports', 'Martial Arts']",,
Mayorâs Park Tennis Courts and Clubhouse,Clifton Hill,-37.787996,144.994351,Netball,2.0,Synthetic,4. Good,"Female, Male",Yarra,Hoddle Street Clifton Hill 3068,,"['Yarra', 'Clifton Hill', 'Sports', 'Netball']",,
Richmond Community Courts,Richmond,-37.817218,145.000351,Netball,2.0,Synthetic,3. Average,"Female, Male",Yarra,Gleadell Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Netball']",,
Ryanâs Reserve Netball and Tennis Facility and Pavilion,Burnley,-37.82731,145.00995600000002,Netball,4.0,Plexipave,3. Average,"Female, Male",Yarra,Swan Street Burnley 3121,,"['Yarra', 'Burnley', 'Sports', 'Netball']",,
Edinburgh Gardens Skate Bowl,Fitzroy North,-37.786615000000005,144.983024,Skating,1.0,,3. Average,,Yarra,St Georges Road Fitzroy North 3068,,"['Yarra', 'Fitzroy North', 'Sports', 'Skating']",,
Quarries Park Skate Facility,Fairfield,-37.790642999999996,145.004188,Skating,1.0,,,,Yarra,Heidelberg Road Fairfield 3078,,"['Yarra', 'Fairfield', 'Sports', 'Skating']",,
Atherton Gardens Reserve,Fitzroy,-37.803315000000005,144.979067,Soccer,1.0,Grass,,,Yarra,Napier Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Soccer']",,
Bastow 1 and 2 Soccer Pitches and Gillon Pavilion,Burnley,-37.828576,145.020462,Soccer,2.0,Grass,3. Average,"Male, Umpire/Officials",Yarra,Swan Street Burnley 3121,,"['Yarra', 'Burnley', 'Sports', 'Soccer']",,
Coulson Reserve and Pavilion Soccer Pitch and Pavilion,Clifton Hill,-37.786384999999996,144.99672900000002,Soccer,1.0,Grass,3. Average,"Male, Umpire/Officials",Yarra,Queens Parade Clifton Hill 3068,,"['Yarra', 'Clifton Hill', 'Sports', 'Soccer']",,
Walker Street Soccer Pitch,Fairfield,-37.789873,145.00311100000002,Soccer,1.0,Grass,,,Yarra,Walker Street Fairfield 3078,,"['Yarra', 'Fairfield', 'Sports', 'Soccer']",,
Yambla Reserve and Pavilion,Fairfield,-37.789873,145.00311100000002,Soccer,1.0,Grass,3. Average,"Male, Umpire/Officials",Yarra,Walker Street Fairfield 3078,,"['Yarra', 'Fairfield', 'Sports', 'Soccer']",,
Melbourne Royal Tennis,Richmond,-37.818473,144.990382,Tennis (Indoor),,,,,Yarra,18 Sherwood Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Tennis']",,
Fitzroy Tennis Courts and Clubhouse,Fitzroy,-37.78753,144.982377,Tennis (Outdoor),6.0,Clay,3. Average,"Female, Male",Yarra,Brunswick Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Tennis']",,
Lilydale BMX Club,Lilydale,-37.748157,145.356706,BMX,,,,,Yarra Ranges,Anderson Street Lilydale,,"['Yarra Ranges', 'Lilydale', 'Sports']",,
Sherbrooke Archers,Upper Ferntree Gully,-37.905279,145.307647,Archery,1.0,Outdoor Archery,3. Average,,Yarra Ranges,New Road Upper Ferntree Gully 3156,,"['Yarra Ranges', 'Upper Ferntree Gully', 'Sports']",,
Morrison Reserve,Mount Evelyn,-37.773451,145.386235,Athletics,1.0,Synthetic Running Track,5. Very Good,Unisex,Yarra Ranges,Old Hereford Road Mount Evelyn 3796,,"['Yarra Ranges', 'Mount Evelyn', 'Sports', 'Athletics']",,
Belgrave Recreation Reserve,Belgrave,-37.91574,145.34486,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Yarra Ranges,1A Reserve Road Belgrave 3160,,"['Yarra Ranges', 'Belgrave', 'Sports', 'Football']",,
Belgrave South Recreation Reserve,Belgrave South,-37.931536,145.355947,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,10/12 Mt Morton Road Belgrave South 3160,,"['Yarra Ranges', 'Belgrave South', 'Sports', 'Football']",,
Brice Avenue Reserve,Mooroolbark,-37.784548,145.318309,Australian Rules Football,1.0,Grass,2. Poor,,Yarra Ranges,Brice Avenue Mooroolbark 3138,,"['Yarra Ranges', 'Mooroolbark', 'Sports', 'Football']",,
Don RoadÂ Sporting Complex,Healesville,-37.668786,145.539658,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Yarra Ranges,249/263 Don Road Healesville 3777,,"['Yarra Ranges', 'Healesville', 'Sports', 'Football']",,
Halley Supple Reserve,Coldstream,-37.729485,145.380214,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,South Gateway . Coldstream 3770,,"['Yarra Ranges', 'Coldstream', 'Sports', 'Football']",,
Ingram Road Reserve,Coldstream,-37.734419,145.38275900000002,Australian Rules Football,1.0,Grass,2. Poor,,Yarra Ranges,Ingram Road Coldstream 3770,,"['Yarra Ranges', 'Coldstream', 'Sports', 'Football']",,
Kalorama Memorial Reserve,Kalorama,-37.816637,145.379051,Australian Rules Football,1.0,Grass,2. Poor,,Yarra Ranges,Grange Road Kalorama 3766,,"['Yarra Ranges', 'Kalorama', 'Sports', 'Football']",,
Kiloran Park,Kilsyth,-37.793184000000004,145.310341,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,Macmillan Street Kilsyth 3137,,"['Yarra Ranges', 'Kilsyth', 'Sports', 'Football']",,
Kilsyth Recreation Reserve,Kilsyth,-37.80385,145.309517,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Yarra Ranges,Colchester Road Kilsyth 3137,,"['Yarra Ranges', 'Kilsyth', 'Sports', 'Football']",,
Kimberley Reserve,Chirnside Park,-37.752025,145.309789,Australian Rules Football,2.0,Grass,3. Average,Male,Yarra Ranges,33 Kimberley Drive Chirnside Park 3116,,"['Yarra Ranges', 'Chirnside Park', 'Sports', 'Football']",,
Lilydale Recreation Reserve,Lilydale,-37.755508,145.34919,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Yarra Ranges,Main Street Lilydale 3140,,"['Yarra Ranges', 'Lilydale', 'Sports', 'Football']",,
Monbulk Reserve,Monbulk,-37.874626,145.41042099999999,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,Moores Road Monbulk 3793,,"['Yarra Ranges', 'Monbulk', 'Sports', 'Football']",,
Montrose Recreation Reserve,Montrose,-37.812836,145.344302,Australian Rules Football,1.0,Grass,5. Very Good,"Male, Umpire/Officials",Yarra Ranges,Mt Dandenong Tourist Road Montrose 3765,,"['Yarra Ranges', 'Montrose', 'Sports', 'Football']",,
Mooroolbark Heights Reserve,Mooroolbark,-37.792790999999994,145.325746,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Yarra Ranges,Longfellow Avenue Mooroolbark 3138,,"['Yarra Ranges', 'Mooroolbark', 'Sports', 'Football']",,
Mount Evelyn Recreation Reserve,Mount Evelyn,-37.795524,145.382252,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,Tramway Road Mount Evelyn 3796,,"['Yarra Ranges', 'Mount Evelyn', 'Sports', 'Football']",,
Mt Lilydale Sports Ovals,Lilydale,-37.744799,145.360513,Australian Rules Football,1.0,Grass,,,Yarra Ranges,Quarry Road Lilydale 3140,,"['Yarra Ranges', 'Lilydale', 'Sports', 'Football']",,
Narre Warren East Reserve,Narre Warren East,-37.963527,145.361633,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,Berwick Road Narre Warren East 3804,,"['Yarra Ranges', 'Narre Warren East', 'Sports', 'Football']",,
Olinda Recreation Reserve,Olinda,-37.853553000000005,145.369756,Australian Rules Football,1.0,Grass,2. Poor,"Male, Umpire/Officials",Yarra Ranges,The Georgian Road Olinda 3788,,"['Yarra Ranges', 'Olinda', 'Sports', 'Football']",,
Pinks Reserve,Kilsyth,-37.813485,145.31925900000002,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,Liverpool Road Kilsyth 3137,,"['Yarra Ranges', 'Kilsyth', 'Sports', 'Football']",,
Powelltown Reserve,Powelltown,-37.86443,145.747704,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,Recreation Road Powelltown 3797,,"['Yarra Ranges', 'Powelltown', 'Sports', 'Football']",,
Queens Park,Healesville,-37.653742,145.523121,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,Don Road Healesville 3777,,"['Yarra Ranges', 'Healesville', 'Sports', 'Football']",,
Seville Recreation Reserve,Seville,-37.780141,145.461873,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,Monbulk-Seville Road Seville 3139,,"['Yarra Ranges', 'Seville', 'Sports', 'Football']",,
Silvan Recreation Reserve,Silvan,-37.830727,145.42832099999998,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Yarra Ranges,Silvan Road Silvan 3795,,"['Yarra Ranges', 'Silvan', 'Sports', 'Football']",,
Upwey Reserve,Upwey,-37.9031,145.336971,Australian Rules Football,2.0,Grass,2. Poor,"Male, Umpire/Officials",Yarra Ranges,Chosen Avenue Upwey 3158,,"['Yarra Ranges', 'Upwey', 'Sports', 'Football']",,
Wandin East Recreation ReserveÂ ,Wandin East,-37.815309,145.45853300000002,Australian Rules Football,,Grass,4. Good,Unisex,Yarra Ranges,Monbulk-Seville Road Wandin East 3139,,"['Yarra Ranges', 'Wandin East', 'Sports', 'Football']",,
Wandin North Reserve,Wandin North,-37.78247,145.430298,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,Clegg Road Wandin North 3139,,"['Yarra Ranges', 'Wandin North', 'Sports', 'Football']",,
Warburton Recreation Reserve,Warburton,-37.751502,145.695114,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Yarra Ranges,Warburton Hwy Warburton 3799,,"['Yarra Ranges', 'Warburton', 'Sports', 'Football']",,
Wesburn Recreation Reserve,Wesburn,-37.772282000000004,145.648259,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,Old Warburton Road Wesburn 3799,,"['Yarra Ranges', 'Wesburn', 'Sports', 'Football']",,
Wickams Road Reserve,Lauching Place,-37.788208000000004,145.570748,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,Wickhams Road Lauching Place 3139,,"['Yarra Ranges', 'Lauching Place', 'Sports', 'Football']",,
Woori Yallock Reserve,Woori Yallock,-37.783371,145.53274,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Yarra Ranges,Shevlins Lane Woori Yallock 3139,,"['Yarra Ranges', 'Woori Yallock', 'Sports', 'Football']",,
Yarra Glen Recreation Reserve,Yarra Glen,-37.660307,145.382561,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Yarra Ranges,Melba Hwy Yarra Glen 3775,,"['Yarra Ranges', 'Yarra Glen', 'Sports', 'Football']",,
Yarra Junction Recreation Reserve,Yarra Junction,-37.780469000000004,145.612006,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Yarra Ranges,Park Road Yarra Junction 3797,,"['Yarra Ranges', 'Yarra Junction', 'Sports', 'Football']",,
Kilsyth Sports Centre,Kilsyth,-37.813485,145.31925900000002,Badminton,6.0,Wooden Flooring,4. Good,"Female, Male",Yarra Ranges,95 Liverpool Road Kilsyth 3137,,"['Yarra Ranges', 'Kilsyth', 'Sports', 'Badminton']",,
Eastfield BMX Club,Kilsyth,-37.812005,145.306839,BMX,,,,,Yarra Ranges,Colchester Road Kilsyth,,"['Yarra Ranges', 'Kilsyth', 'Sports']",,
Healesville Skate & BMX,Healesville,-37.652215999999996,145.523707,BMX,1.0,,3. Average,,Yarra Ranges,36 Don Road Healesville 3777,,"['Yarra Ranges', 'Healesville', 'Sports']",,
Monbulk Skate & BMX,Monbulk,-37.875989000000004,145.409214,BMX,1.0,Dirt,3. Average,,Yarra Ranges,Moores Road Monbulk 3793,,"['Yarra Ranges', 'Monbulk', 'Sports']",,
Baynes Reserve,Monbulk,-37.876185,145.401865,Cricket,1.0,Synthetic Pitch,2. Poor,,Yarra Ranges,Baynes Park Road Monbulk 3793,,"['Yarra Ranges', 'Monbulk', 'Sports', 'Cricket']",,
Ernest Lloyd Reserve,Gladysdale,-37.815684999999995,145.646885,Cricket,1.0,Synthetic Pitch,2. Poor,,Yarra Ranges,Little Yarra Road Gladysdale 3797,,"['Yarra Ranges', 'Gladysdale', 'Sports', 'Cricket']",,
Ferny Creek Reserve,Ferny Creek,-37.875346,145.345796,Cricket,1.0,Concrete Pitch,,,Yarra Ranges,Clarkmont Road Ferny Creek 3786,,"['Yarra Ranges', 'Ferny Creek', 'Sports', 'Cricket']",,
Gruyere Recreation Reserve,Gruyere,-37.730845,145.445084,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Yarra Ranges,Killara Road Gruyere 3770,,"['Yarra Ranges', 'Gruyere', 'Sports', 'Cricket']",,
Hoddles Creek Community Reserve,Hoddles Creek,-37.826476,145.59628,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Yarra Ranges,Gembrook Road Hoddles Creek 3139,,"['Yarra Ranges', 'Hoddles Creek', 'Sports', 'Cricket']",,
Keith Hume Fraser Reserve,Montrose,-37.803327,145.355379,Cricket,2.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Yarra Ranges,Swansea Road Montrose 3765,,"['Yarra Ranges', 'Montrose', 'Sports', 'Cricket']",,
Menzies Creek Reserve,Menzies Creek,-37.913167,145.393932,Cricket,1.0,Synthetic Pitch,2. Poor,"Male, Umpire/Officials",Yarra Ranges,Black Hill Road Menzies Creek 3159,,"['Yarra Ranges', 'Menzies Creek', 'Sports', 'Cricket']",,
Millgrove Recreation ReserveÂ Â ,Millgrove,-37.753601,145.649617,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Yarra Ranges,Moore Cresent Millgrove 3799,,"['Yarra Ranges', 'Millgrove', 'Sports', 'Cricket']",,
Sheep Station Creek Reserve,Yellingbo,-37.804472,145.524548,Cricket,1.0,Synthetic Pitch,2. Poor,,Yarra Ranges,Healsville Koo Wee Rup Road Yellingbo 3139,,"['Yarra Ranges', 'Yellingbo', 'Sports', 'Cricket']",,
Bell Road Reserve,Seville,-37.779887,145.460181,Equestrian,,,,,Yarra Ranges,Bell Road Seville 3139,,"['Yarra Ranges', 'Seville', 'Sports']",,
Don Road Sports Complex,Healesville,-37.696596,145.567064,Equestrian,,,,,Yarra Ranges,Don Road Healesville 3777,,"['Yarra Ranges', 'Healesville', 'Sports']",,
Doongala Reserve,Montrose,-37.829614,145.334174,Equestrian,,,,,Yarra Ranges,Sheffield South Road Montrose 3765,,"['Yarra Ranges', 'Montrose', 'Sports']",,
Graeme Collings Reserve,Mount Evelyn,-37.780524,145.404347,Equestrian,,,,,Yarra Ranges,Bailey Road Mount Evelyn 3796,,"['Yarra Ranges', 'Mount Evelyn', 'Sports']",,
Lloyd Park,Belgrave South,-37.953508,145.348948,Equestrian,,,,,Yarra Ranges,Belgrave Road Belgrave South 3160,,"['Yarra Ranges', 'Belgrave South', 'Sports']",,
Macclesfield Reserve,Macclesfield,-37.889023,145.491043,Equestrian,,,,,Yarra Ranges,Kennedy Road Macclesfield 3782,,"['Yarra Ranges', 'Macclesfield', 'Sports']",,
Wards Road Reserve,Monbulk,-37.878431,145.4454,Equestrian,,,,,Yarra Ranges,Wards Road Monbulk 3793,,"['Yarra Ranges', 'Monbulk', 'Sports']",,
Yarra Glen & Lilydale Hunt Club,Yering,-37.702394,145.38992199999998,Equestrian,,,,,Yarra Ranges,28 Melba Highway Yering 3770,,"['Yarra Ranges', 'Yering', 'Sports']",,
Yarra Glen Club Grounds,Yarra Glen,-37.670128999999996,145.354763,Equestrian,,,,,Yarra Ranges,Yarraview Road Yarra Glen 3775,,"['Yarra Ranges', 'Yarra Glen', 'Sports']",,
Curves  Lilydale,Lilydale,-37.748329999999996,145.349077,Fitness / Gymnasium Workouts,1.0,,,,Yarra Ranges,36 Industrial Park Drive Lilydale 3140,,"['Yarra Ranges', 'Lilydale', 'Sports', 'Gymnasium']",,
Curves Kilsyth,Kilsyth,-37.802677,145.316372,Fitness / Gymnasium Workouts,1.0,,,,Yarra Ranges,12/14 Collins Place Kilsyth 3137,,"['Yarra Ranges', 'Kilsyth', 'Sports', 'Gymnasium']",,
Female Gym Chirnside Park,Chirnside Park,-37.767272,145.30256599999998,Fitness / Gymnasium Workouts,1.0,,,,Yarra Ranges,286 Maroondah Hwy Chirnside Park 3116,,"['Yarra Ranges', 'Chirnside Park', 'Sports', 'Gymnasium']",,
Fit Chirnside park,Chirnside Park,-37.766357,145.305667,Fitness / Gymnasium Workouts,1.0,,,,Yarra Ranges,282 Maroondah Hwy Chirnside Park 3116,,"['Yarra Ranges', 'Chirnside Park', 'Sports', 'Gymnasium']",,
Fit Gym,Mount Evelyn,-37.786307,145.378829,Fitness / Gymnasium Workouts,1.0,,,,Yarra Ranges,17 Wray Crescent Mount Evelyn 3796,,"['Yarra Ranges', 'Mount Evelyn', 'Sports', 'Gymnasium']",,
Goodlife Mooroolbark,Mooroolbark,-37.788068,145.31106100000002,Fitness / Gymnasium Workouts,1.0,,,,Yarra Ranges,14 Manchester Road Mooroolbark 3138,,"['Yarra Ranges', 'Mooroolbark', 'Sports', 'Gymnasium']",,
Jetts Fitness Lilydale,Lilydale,-37.760040000000004,145.34759499999998,Fitness / Gymnasium Workouts,1.0,,,,Yarra Ranges,33 Hutchinson Street Lilydale 3140,,"['Yarra Ranges', 'Lilydale', 'Sports', 'Gymnasium']",,
Lilydale Squash & Fitness Centre,Lilydale,-37.75622,145.36107900000002,Fitness / Gymnasium Workouts,1.0,,,,Yarra Ranges,446 Maroondah Hwy Lilydale 3140,,"['Yarra Ranges', 'Lilydale', 'Sports', 'Gymnasium']",,
Ranges Fitness,Upwey,-37.905213,145.332663,Fitness / Gymnasium Workouts,1.0,,,,Yarra Ranges,82 Main Street Upwey 3158,,"['Yarra Ranges', 'Upwey', 'Sports', 'Gymnasium']",,
Yarra Centre,Yarra Junction,-37.780919,145.610871,Fitness / Gymnasium Workouts,,,4. Good,"Female, Male",Yarra Ranges,2435 Warburton Highway Yarra Junction 3797,,"['Yarra Ranges', 'Yarra Junction', 'Sports', 'Gymnasium']",,
Chirnside Park Country Club,Chirnside Park,-37.750543,145.325894,Golf,1.0,18 Hole Course - Private,,,Yarra Ranges,Kingswood Drive Chirnside Park 3116,,"['Yarra Ranges', 'Chirnside Park', 'Sports', 'Golf']",,
Croyden Golf Club,Croyden,-37.692347999999996,145.35434899999998,Golf,1.0,18 Hole Course - Private,,,Yarra Ranges,Victoria Road Croyden 3136,,"['Yarra Ranges', 'Croyden', 'Sports', 'Golf']",,
