Municipality,Place Name,Feature Type Code,Feature Type,Longitude,Latitude,Historical Information,Url,Organisation Name
HOBSONS BAY CITY,ALTONA EAST,NBHD,NEIGHBOURHOOD,144.86125,-37.83625,,,
HOBSONS BAY CITY,ALTONA GATE,NBHD,NEIGHBOURHOOD,144.8434722,-37.8279167,,,
HOBSONS BAY CITY,ALTONA GATE SHOPPING CENTRE,SHCE,SHOPPING CENTRE,144.8480556,-37.8269444,,,
HOBSONS BAY CITY,ALTONA MEADOWS RESERVE,PARK,PARK,144.7828272,-37.8787589,,,
HOBSONS BAY CITY,ALTONA SPORTS PARK,PARK,PARK,144.8526389,-37.8631944,,,
GREATER BENDIGO CITY,ALTONA WATER SPORTS CLUB,SPFA,SPORT FACILITY,144.6126389,-36.8681944,,,
MONASH CITY,AMAROO NEIGHBOURHOOD CENTRE,COCE,COMMUNITY CENTRE,145.099579,-37.879069,,,
MAROONDAH CITY,AMAZING SPACE PLAYGROUND,PLAY,PLAYGROUND,145.2303806,-37.8192778,,,
YARRA RANGES SHIRE,AMBROSE PRATT MEMORIAL,MONU,MONUMENT,145.3579167,-37.8840278,,,
CENTRAL GOLDFIELDS SHIRE,AMHERST,PRSH,PARISH,143.6959722,-37.1581944,,,
BANYULE CITY,AMINYA RESERVE,PARK,PARK,145.0783255,-37.7126064,'Council has said that the word 'Aminya' derives from an Aboriginal word for 'quiet' or 'quiet place'.,,
PYRENEES SHIRE,AMPHITHEATRE,PRSH,PARISH,143.3640278,-37.2715278,"Traditional Name: Yapal Explanation: N/A Discussion on Current Name: Once the n of a pastoral run created following the subdivision of Glenlogie 1862.  Descriptive n of locality,  Porteous in Smyth 1878b: 179.",http://www.vaclang.org.au,
PYRENEES SHIRE,AMPHITHEATRE,PRSH,PARISH,143.3640278,-37.2715278,'so called because of its shape and situation - a circular plain surrounded by hills.',,
PYRENEES SHIRE,AMPHITHEATRE RECREATION RESERVE,PARK,PARK,143.3981126,-37.1849846,,,
CASEY CITY,AMSTEL GOLF CLUB,PARK,PARK,145.2559722,-38.1131944,,,
GREATER GEELONG CITY,ANAKIE,PRSH,PARISH,144.2879167,-37.8893056,"Traditional Name: Nganaki yawa Explanation: small hill Discussion on Current Name: Robinson jnl, 7/2/1840.",http://www.vaclang.org.au,
GREATER GEELONG CITY,ANAKIE EAST,NBHD,NEIGHBOURHOOD,144.3151389,-37.95125,,,
GREATER GEELONG CITY,ANAKIE JUNCTION,NBHD,NEIGHBOURHOOD,144.2620833,-37.8798611,,,
GOLDEN PLAINS SHIRE,ANAKIE RECREATION RESERVE,PARK,PARK,144.1920833,-37.9304167,,,
GREATER GEELONG CITY,ANAKIE RESERVE,PARK,PARK,144.252326,-37.9160527,,,
MILDURA RURAL CITY,ANDAMIFI PARK,PARK,PARK,142.1437973,-34.1792954,,,
MARIBYRNONG CITY,ANDERS PARK,PARK,PARK,144.8770865,-37.8054251,"Named after Anders Mauritz Hansen, local timber merchant and ex-councillor who dontated the land to residents.",,
BOROONDARA CITY,ANDERSON PARK,PARK,PARK,145.048822,-37.8399502,,,
SOUTH GIPPSLAND SHIRE,ANDERSON RESERVE,PARK,PARK,145.8209722,-38.4384722,,,
WELLINGTON SHIRE,ANDREW BAY,BAY,BAY,147.2270833,-38.1179167,,,
BANYULE CITY,ANDREW PLACE SHOPPING CENTRE,SHCE,SHOPPING CENTRE,145.0719444,-37.7013889,,,
LATROBE CITY,ANDREWS PARK,PARK,PARK,146.4134722,-38.3031944,,,
GREATER DANDENONG CITY,ANDREWS RESERVE,PARK,PARK,145.2120401,-38.0022338,,,
SURF COAST SHIRE,ANGAHOOK,PRSH,PARISH,144.1190278,-38.4259722,"Traditional Name: Angahook Explanation: N/A Discussion on Current Name: According to Blake (1977: 24), projecting headland or sharp Ri bend,  n is associated with Anglesea (q.v.),  According to Pascoe (Papers 1999), n is Wathawurrung derived,  Pascoe Papers 1999.",http://www.vaclang.org.au,
YARRIAMBIACK SHIRE,ANGIP,NBHD,NEIGHBOURHOOD,142.23125,-36.1051389,"The 'name Angip was created because of confusion with mail bag delivery in the days when there was both Yellangip and Yellangip North.  To overcome confusion, the Post Office establishedan agency Post Office which was named Angip'",,
SURF COAST SHIRE,ANGLESEA COMMUNITY HOUSE,COCE,COMMUNITY CENTRE,144.1838896,-38.4099973,,,
MARIBYRNONG CITY,ANGLISS RESERVE,PARK,PARK,144.8689258,-37.8172023,Named after Sir William Angliss who donated 15 acres of land at this site to the residents,,
EAST GIPPSLAND SHIRE,ANGORA,PRSH,PARISH,147.7251389,-37.3568056,,,
CASEY CITY,ANGUS FACEY RESERVE,PARK,PARK,145.3028505,-38.011032,,,
EAST GIPPSLAND SHIRE,ANGUS MCMILLAN HISTORICAL MONUMENT,MONU,MONUMENT,147.3134722,-37.7345833,,,
STRATHBOGIE SHIRE,ANGUSTOWN,NBHD,NEIGHBOURHOOD,145.0981944,-36.7004167,,,
EAST GIPPSLAND SHIRE,ANGUSVALE,NBHD,NEIGHBOURHOOD,147.3523611,-37.5920833,,,
YARRA CITY,ANNETTES PLACE,PARK,PARK,145.0142337,-37.8146744,,,
WELLINGTON SHIRE,ANNIE GREENAWAY RESERVE,PARK,PARK,146.4648611,-38.5206944,"Annie Greenaway (1874-1953) was one of the earliest settlers of Hiawatha, settling in the area with her husband in 1910. She supported every local initiative and became widely known and respected at Hiawatha. She suggested the creation of a reserve at the Minne Ha Ha Falls for picnic sports, boarded the local school teachers, supported the bush nurse, and helped with a range of community events. ",,
MORNINGTON PENINSULA SHIRE,ANNIVERSARY PARK,PARK,PARK,145.1841632,-38.3080742,,,
BOROONDARA CITY,ANNIVERSARY TRAIL LINEAR RESERVE,PARK,PARK,145.0770407,-37.8724193,,,
SWAN HILL RURAL CITY,ANNUELLO,PRSH,PARISH,142.7620833,-34.7904167,"Traditional Name: Annuello Explanation: N/A Discussion on Current Name: rural locality,  rly rtn,  Parish,  Blake 1977: 24.",http://www.vaclang.org.au,
GLENELG SHIRE,ANNYA,PRSH,PARISH,141.6140278,-38.0020833,,,
GLENELG SHIRE,ANNYA CAMP PICNIC AREA,PARK,PARK,141.5821209,-38.0183961,,,
MORELAND CITY,ANSTEY,NBHD,NEIGHBOURHOOD,144.9565278,-37.7623611,,,
BANYULE CITY,ANTHONY BEALE RESERVE,PARK,PARK,145.1267776,-37.6915125,,,
UNKNOWN,ANTHONY GROVE RESERVE,PARK,PARK,,,,,
UNKNOWN,ANTONIETTA TOSCANO RESERVE,PARK,PARK,,,,,
WHITEHORSE CITY,ANTONIO PARK,PARK,PARK,145.2080939,-37.8143998,,,
BAW BAW SHIRE,ANZAC GARDEN,PARK,PARK,146.0945833,-37.8523611,"Named for the proximity to the R.S.L Memorial Hall, and provides recognition of those persons who fought in World War I and World War II. ",,
SURF COAST SHIRE,ANZAC MEMORIAL PARK,PARK,PARK,143.9755908,-38.5384886,Formally named in 2008 at the request of the Lorne sub-branch of the Returned Services League.,,Surf Coast Shire Council
NILLUMBIK SHIRE,ANZAC MEMORIAL PARK,PARK,PARK,145.1949594,-37.6374651,"Name was requested by the Hurstbridge Sub-Branch of the RSL.  The park is used for Anzac Day and Remembrance Day services, and has been the location of an Anzac Memorial Stone since 1991.",,Nillumbik Shire Council
WELLINGTON SHIRE,ANZAC PARK,PARK,PARK,147.0705035,-37.8431482,,,
MORNINGTON PENINSULA SHIRE,ANZAC PARK,PARK,PARK,145.1242902,-38.373618,,,
MAROONDAH CITY,ANZAC SQUARE,MONU,MONUMENT,145.2813889,-37.7944444,"The monument and the surrounding land, which abuted the railway line was named Anzac Square in 1928 in a motion by Cr. Hochkins of Lilydale Council. The remaking of the roads and subsequent construction of the traffic roundabout the name was lost. Council formally requested the name be reinstated in a letter to the Office of Geographic Names dated 24th February 2006.",,
MOIRA SHIRE,APEX BEACH,BEAC,BEACH,145.5470115,-35.813031,,,
SOUTHERN GRAMPIANS SHIRE,APEX PARK,PARK,PARK,142.0325376,-37.7434869,,,
SOUTHERN GRAMPIANS SHIRE,APEX PARK,PARK,PARK,141.8418482,-37.247673,,,
WELLINGTON SHIRE,APEX PARK,PARK,PARK,147.0758665,-38.0966059,,,
WELLINGTON SHIRE,APEX PARK,PARK,PARK,146.7873394,-37.9796433,,,
WELLINGTON SHIRE,APEX PARK,PARK,PARK,147.0797302,-37.9713911,,,
GANNAWARRA SHIRE,APEX PARK,PARK,PARK,143.8848406,-35.6869567,,,
MORNINGTON PENINSULA SHIRE,APEX PARK,PARK,PARK,145.044065,-38.2295489,,,
ALPINE SHIRE,APEX PARK,PARK,PARK,146.714993,-36.5677302,,,
CORANGAMITE SHIRE,APEX PARK,PARK,PARK,143.140027,-38.2290193,,,
CORANGAMITE SHIRE,APEX PARK,PARK,PARK,142.9144286,-38.2413728,,,
CORANGAMITE SHIRE,APEX PARK,PARK,PARK,143.0791003,-38.3263181,,,
LATROBE CITY,APEX PARK PICNIC AREA,PARK,PARK,146.3070833,-38.4279167,,,
WARRNAMBOOL CITY,APEX RESERVE,PARK,PARK,142.4716904,-38.3713098,,,
UNINCORPORATED,APOLLO BAY,BAY,BAY,143.6806223,-38.7473588,"Named by Captain Loutit after his schooner the Apollo, sheltering here from a south-west gale in February 1846, while on one of his trading runs between Melbourne and Portland. Briefly known as Middleton and Krambruk in 1874.",http://www.bcs.asn.au/vic_coast.pdf,
UNINCORPORATED,APOLLO BAY,BAY,BAY,143.6806223,-38.7473588,"Traditional Name: Krambruk Explanation: N/A Discussion on Current Name: Cpt Loutit n bay after his schooner,  settlement n Middleton in 4/1874, but renamed Krambruk 12/1874 by Governor-in-Council,  Blake 1977:24.",http://www.vaclang.org.au,
MORELAND CITY,APPLEBY RESERVE,PARK,PARK,144.9520833,-37.7568056,"'Named after Walter Lawson Appleby.  Councillor 1921 - 1932, 1932 - 1934 (13 yrs.)  Mayor 1923 - 1924.'",,
WYNDHAM CITY,AQUA PULSE,SPFA,SPORT FACILITY,144.6836722,-37.8832324,,,
MAROONDAH CITY,AQUAHUB,SPCO,SPORTS COMPLEX,145.2810361,-37.8009528,,,
MAROONDAH CITY,AQUANATION,SPCO,SPORTS COMPLEX,145.2311111,-37.8252778,,,
WHITTLESEA CITY,AQUEDUCT RESERVE,PARK,PARK,145.0651389,-37.6893056,,,
WELLINGTON SHIRE,ARALUEN RECREATION RESERVE,PARK,PARK,147.0919649,-38.1072388,''Araluen' is an Aboriginal word for 'place of water lilies'.',,
HORSHAM RURAL CITY,ARAPILES,PRSH,PARISH,141.79625,-36.7165278,"'Took its name from Mount Arapiles.  The mountain was named by Major Mitchell in 1836, after a place on the Peninsula overlooking the battlefield of Salamanca.  Mitchell ascended this mountain on the anniversary of the battle.'",,
ARARAT RURAL CITY,ARARAT,PRSH,PARISH,142.9273611,-37.2579167,"Traditional Name: Pandort Explanation: N/A Discussion on Current Name: a large waterhole at the south foot of Talleramborrer, a hill 4 miles N of Burrumbeep Hill (see entry for Ararat),  Robinson in Clark 2000g: 132.",http://www.vaclang.org.au,
ARARAT RURAL CITY,ARARAT,PRSH,PARISH,142.9273611,-37.2579167,"Traditional Name: Tallarambooroo Explanation: N/A Discussion on Current Name: according to Wright, 'Tallarambooroo' represents 'Ararat diggings and site of township',  according to Robinson it is a hill 4 miles N of Bo.rum.beep, Kirk's hill, N and E of Kirk's hill',  Robinson in Clark 2000g: 131, 132,  Wright 1858.",http://www.vaclang.org.au,
ARARAT RURAL CITY,ARARAT,PRSH,PARISH,142.9273611,-37.2579167,"Traditional Name: Karangajaruk Explanation: N/A Discussion on Current Name: According to Spieseke, the valley in which Cathcart and the Ararat Diggings lie,  Spieseke in Smyth 1878b: 206.",http://www.vaclang.org.au,
ARARAT RURAL CITY,ARARAT,PRSH,PARISH,142.9273611,-37.2579167,'Took its name from a mountain a few miles distant.  The mountain referred to took its name from the scriptural Mount.',,
ARARAT RURAL CITY,ARARAT,PRSH,PARISH,142.9273611,-37.2579167,"Traditional Name: Warrayatkin Explanation: N/A Discussion on Current Name: aka Warrayatkin Swamp,  RPNV 1983: 202.",http://www.vaclang.org.au,
ARARAT RURAL CITY,ARARAT,PRSH,PARISH,142.9273611,-37.2579167,"Traditional Name: Butingitch Explanation: N/A Discussion on Current Name: n from nearby Mt Ararat (q.v.),  Chauncy in Smyth 1878b: 205.",http://www.vaclang.org.au,
ARARAT RURAL CITY,ARARAT AND DISTRICT PONY CLUB,PARK,PARK,142.942385,-37.2904201,,,
WELLINGTON SHIRE,ARBUCKLE,PRSH,PARISH,146.8251389,-37.3554167,,,
GREATER SHEPPARTON CITY,ARCADIA,PRSH,PARISH,145.3798611,-36.5531944,"'Named after that Arcadia which was situated in the middle of Peloponnessus.  It was famous for its mountains, and was celebrated by the poets.  Received its name from 'Arcas,' son of Jupiter.'",,
KNOX CITY,ARCADIA RESERVE,PARK,PARK,145.2439475,-37.9248447,"Reflects the property name of the Seebeck family, a name long associated with the district and the longest serving Councillor in the City of Know and a past Mayor. ",,
CENTRAL GOLDFIELDS SHIRE,ARCHDALE,PRSH,PARISH,143.5706944,-36.8429167,,,
UNKNOWN,ARDEER COMMUNITY PARK,PARK,PARK,,,,,
BRIMBANK CITY,ARDEER RESERVE,PARK,PARK,144.80625,-37.7776389,,,
BRIMBANK CITY,ARDEER SOUTH,NBHD,NEIGHBOURHOOD,144.80375,-37.7901389,,,
GREATER GEELONG CITY,ARDEN STREET RESERVE,PARK,PARK,144.4671637,-38.1854629,,,
GREATER SHEPPARTON CITY,ARDMONA RECREATION RESERVE,PARK,PARK,145.2997447,-36.3848477,,,
GLENELG SHIRE,ARDNO,PRSH,PARISH,141.0343056,-37.7493056,,,
GLENELG SHIRE,ARDNO,NBHD,NEIGHBOURHOOD,141.0148611,-37.7593056,,,
MOYNE SHIRE,ARDONACHIE,NBHD,NEIGHBOURHOOD,141.95875,-38.0618056,,,
MOYNE SHIRE,ARDONACHIE,PRSH,PARISH,141.9081944,-38.0290278,"Named after Samuel Gorrie's pastoral station, first occupied in the 1840s.",,
STONNINGTON CITY,ARDRIE PARK,PARK,PARK,145.0539144,-37.8790811,,,
YARRIAMBIACK SHIRE,AREEGRA,PRSH,PARISH,142.6851389,-36.2384722,"Traditional Name: Areegra Explanation: N/A Discussion on Current Name: farming district E of Warracknabeal,  Blake 1977: 25.",http://www.vaclang.org.au,
GOLDEN PLAINS SHIRE,ARGYLE,PRSH,PARISH,143.5304167,-37.6890278,,,
MELBOURNE CITY,ARGYLE SQUARE,PARK,PARK,144.9658351,-37.8027403,,,
MOYNE SHIRE,ARINGA,NBHD,NEIGHBOURHOOD,142.1515278,-38.3556944,,,
HINDMARSH SHIRE,ARKONA,NBHD,NEIGHBOURHOOD,142.02125,-36.3604167,,,
UNINCORPORATED,ARMSTRONG BAY,BAY,BAY,142.3614417,-38.3553003,"Named after Captain Armstrong, captain of the Pelican and mate of Captain Wishart's ship The Fairy.",http://www.bcs.asn.au/vic_coast.pdf,
HOBSONS BAY CITY,ARMSTRONG RESERVE,PARK,PARK,144.8882647,-37.8470628,,,
FRANKSTON CITY,ARMSTRONG RESERVE,PARK,PARK,145.1309722,-38.0906944,,,
UNINCORPORATED,ARMSTRONGS BAY,BAY,BAY,142.3614417,-38.3553003,"Named after Captain Armstrong, captain of the Pelican and mate of Captain Wishart's ship The Fairy.",http://www.bcs.asn.au/vic_coast.pdf,
UNKNOWN,ARMSTRONGS RESERVE,PARK,PARK,,,,,
SURF COAST SHIRE,ARMYTAGE,NBHD,NEIGHBOURHOOD,143.8781944,-38.2665278,"Named after Armytage family, early pastoralists of Ingleby Station, occupied 1836.",,
CAMPASPE SHIRE,ARNOLD BEND,PARK,PARK,144.58875,-36.0381944,,,
LODDON SHIRE,ARNOLD CRICKET RESERVE,PARK,PARK,143.8675485,-36.6853873,,,
LODDON SHIRE,ARNOLD RECREATION RESERVE,PARK,PARK,143.86625,-36.6868056,,,
MAROONDAH CITY,ARRABRI COMMUNITY HOUSE,COCE,COMMUNITY CENTRE,145.293567,-37.831251,,,
BALLARAT CITY,ART GALLERY OF BALLARAT,ARGA,ART GALLERY,143.8582856,-37.5603949,,,
BRIMBANK CITY,ARTHUR BEACHLEY RESERVE,PARK,PARK,144.8239123,-37.7970988,'Ex Councillor and Shire President of the Municipality.  Well known local identity.',,
NILLUMBIK SHIRE,ARTHUR BIRD RESERVE,PARK,PARK,145.1634918,-37.7236434,,,
UNKNOWN,ARTHUR CALWELL PARK,PARK,PARK,,,"Arthur Calwell (1896-1973) was an Australia politician, serving on the City of Melbourne Council, and the House of Representatives as member for Melbourne. He served in the Curtin government as Minister for Information, and subsequently Minister for Immigration in the Chifley government. He was the architect and builder of the Australian immigration program after the Second World War. After the death of Chifley, he was appointed Deputy Leader, and Leader of the Opposition. ",,
WODONGA CITY,ARTHUR DUNSTAN PARK,PARK,PARK,146.899873,-36.1285538,"Arthur Dunstan Senior was a general construction contractor who built bridges on the Lincoln Causeway.  His firm built the Wodonga Saleyards in the 1930s.  He also had a timber mill at Upper Sandy Creek, another mill at Glenn Wills, and a store and yards on Southside Terrace.",,City of Wodonga
GREATER SHEPPARTON CITY,ARTHUR PARK,PARK,PARK,145.4132152,-36.3553053,"In honour of Arthur Sfetcopoulos, a local orchardist who owned the land that was subdivided to later become Arthur Park estate.  Arthur Sfetcopoulos was also a proactive member of the local Greek community.  ",,
GREATER GEELONG CITY,ARTHUR POWELL RESERVE,PARK,PARK,144.5317984,-38.2629429,,,
BRIMBANK CITY,ARTHUR STREET RESERVE,PARK,PARK,144.8060462,-37.7338282,,,
UNKNOWN,ARTHUR W PETERSON RESERVE,PARK,PARK,,,,,
MORNINGTON PENINSULA SHIRE,ARUNTA COURT BUSHLAND RESERVE,PARK,PARK,144.8033972,-38.389996,,,
BOROONDARA CITY,ASBURTON POOL AND RECREATION CENTRE,PARK,PARK,145.0851147,-37.8668409,,,
BALLARAT CITY,ASCOT,PRSH,PARISH,143.8195833,-37.4165278,,,
MOONEE VALLEY CITY,ASCOT VALE SPORTS AND FITNESS CENTRE,SPCO,SPORTS COMPLEX,144.911304,-37.779181,,,
MOONEE VALLEY CITY,ASCOT VALE WEST,NBHD,NEIGHBOURHOOD,144.9051389,-37.7759722,,,
MILDURA RURAL CITY,ASH COURT RESERVE,PARK,PARK,142.1929811,-34.308148,,,
MARIBYRNONG CITY,ASH RESERVE,PARK,PARK,144.853751,-37.7810874,,,
KNOX CITY,ASHBROOKE PARK,PARK,PARK,145.2240278,-37.93875,"Reflects the original Estate name, Ashbrooke Heights. ",,
